Dataset,Class,Images
PlantVillage,Apple___Apple_scab,504
PlantVillage,Apple___Black_rot,496
PlantVillage,Apple___Cedar_apple_rust,220
PlantVillage,Apple___healthy,1316
PlantVillage,Blueberry___healthy,1202
PlantVillage,Cherry_(including_sour)___healthy,684
PlantVillage,Cherry_(including_sour)___Powdery_mildew,842
PlantVillage,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,410
PlantVillage,Corn_(maize)___Common_rust_,953
PlantVillage,Corn_(maize)___healthy,929
PlantVillage,Corn_(maize)___Northern_Leaf_Blight,788
PlantVillage,Grape___Black_rot,944
PlantVillage,Grape___Esca_(Black_Measles),1107
PlantVillage,Grape___healthy,339
PlantVillage,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),861
PlantVillage,Orange___Haunglongbing_(Citrus_greening),4405
PlantVillage,Peach___Bacterial_spot,1838
PlantVillage,Peach___healthy,288
PlantVillage,"Pepper,_bell___Bacterial_spot",797
PlantVillage,"Pepper,_bell___healthy",1183
PlantVillage,Potato___Early_blight,800
PlantVillage,Potato___healthy,121
PlantVillage,Potato___Late_blight,800
PlantVillage,Raspberry___healthy,297
PlantVillage,Soybean___healthy,4072
PlantVillage,Squash___Powdery_mildew,1468
PlantVillage,Strawberry___healthy,364
PlantVillage,Strawberry___Leaf_scorch,887
PlantVillage,Tomato___Bacterial_spot,1702
PlantVillage,Tomato___Early_blight,800
PlantVillage,Tomato___healthy,1273
PlantVillage,Tomato___Late_blight,1527
PlantVillage,Tomato___Leaf_Mold,761
PlantVillage,Tomato___Septoria_leaf_spot,1417
PlantVillage,Tomato___Spider_mites Two-spotted_spider_mite,1341
PlantVillage,Tomato___Target_Spot,1123
PlantVillage,Tomato___Tomato_mosaic_virus,299
PlantVillage,Tomato___Tomato_Yellow_Leaf_Curl_Virus,4286
PlantVillage,Apple___Apple_scab,126
PlantVillage,Apple___Black_rot,125
PlantVillage,Apple___Cedar_apple_rust,55
PlantVillage,Apple___healthy,329
PlantVillage,Blueberry___healthy,300
PlantVillage,Cherry_(including_sour)___healthy,170
PlantVillage,Cherry_(including_sour)___Powdery_mildew,210
PlantVillage,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,103
PlantVillage,Corn_(maize)___Common_rust_,239
PlantVillage,Corn_(maize)___healthy,233
PlantVillage,Corn_(maize)___Northern_Leaf_Blight,197
PlantVillage,Grape___Black_rot,236
PlantVillage,Grape___Esca_(Black_Measles),276
PlantVillage,Grape___healthy,84
PlantVillage,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),215
PlantVillage,Orange___Haunglongbing_(Citrus_greening),1102
PlantVillage,Peach___Bacterial_spot,459
PlantVillage,Peach___healthy,72
PlantVillage,"Pepper,_bell___Bacterial_spot",200
PlantVillage,"Pepper,_bell___healthy",295
PlantVillage,Potato___Early_blight,200
PlantVillage,Potato___healthy,31
PlantVillage,Potato___Late_blight,200
PlantVillage,Raspberry___healthy,74
PlantVillage,Soybean___healthy,1018
PlantVillage,Squash___Powdery_mildew,367
PlantVillage,Strawberry___healthy,92
PlantVillage,Strawberry___Leaf_scorch,222
PlantVillage,Tomato___Bacterial_spot,425
PlantVillage,Tomato___Early_blight,200
PlantVillage,Tomato___healthy,318
PlantVillage,Tomato___Late_blight,382
PlantVillage,Tomato___Leaf_Mold,191
PlantVillage,Tomato___Septoria_leaf_spot,354
PlantVillage,Tomato___Spider_mites Two-spotted_spider_mite,335
PlantVillage,Tomato___Target_Spot,281
PlantVillage,Tomato___Tomato_mosaic_virus,74
PlantVillage,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1071
PlantDoc,Apple___Apple_scab,9
PlantDoc,Apple___Cedar_apple_rust,9
PlantDoc,Apple___healthy,10
PlantDoc,Blueberry___healthy,12
PlantDoc,Cherry___healthy,6
PlantDoc,Corn_(maize)___healthy,10
PlantDoc,Corn___Cercospora_leaf_spot,7
PlantDoc,Corn___Common_rust,12
PlantDoc,Corn___Northern_Leaf_Blight,20
PlantDoc,Grape___Black_rot,7
PlantDoc,Grape___Esca_(Black_Measles),10
PlantDoc,Grape___healthy,10
PlantDoc,Peach___healthy,12
PlantDoc,"Pepper,_bell___Bacterial_spot",8
PlantDoc,"Pepper,_bell___healthy",7
PlantDoc,Potato___Early_blight,12
PlantDoc,Potato___healthy,10
PlantDoc,Potato___Late_blight,11
PlantDoc,Raspberry___healthy,12
PlantDoc,Soybean___healthy,6
PlantDoc,Squash___Powdery_mildew,13
PlantDoc,Strawberry___healthy,10
PlantDoc,Tomato___Bacterial_spot,11
PlantDoc,Tomato___Early_blight,9
PlantDoc,Tomato___healthy,7
PlantDoc,Tomato___Late_blight,12
PlantDoc,Tomato___Leaf_Mold,10
PlantDoc,Tomato___Septoria_leaf_spot,14
PlantDoc,Tomato___Tomato_mosaic_virus,6
PlantDoc,Tomato___Tomato_Yellow_Leaf_Curl_Virus,8
PlantDoc,Apple___Apple_scab,94
PlantDoc,Apple___Cedar_apple_rust,41
PlantDoc,Apple___healthy,247
PlantDoc,Blueberry___healthy,225
PlantDoc,Cherry___healthy,128
PlantDoc,Corn_(maize)___healthy,174
PlantDoc,Corn___Cercospora_leaf_spot,77
PlantDoc,Corn___Common_rust,179
PlantDoc,Corn___Northern_Leaf_Blight,148
PlantDoc,Grape___Black_rot,177
PlantDoc,Grape___Esca_(Black_Measles),207
PlantDoc,Grape___healthy,63
PlantDoc,Peach___healthy,54
PlantDoc,"Pepper,_bell___Bacterial_spot",149
PlantDoc,"Pepper,_bell___healthy",222
PlantDoc,Potato___Early_blight,150
PlantDoc,Potato___healthy,23
PlantDoc,Potato___Late_blight,150
PlantDoc,Raspberry___healthy,55
PlantDoc,Soybean___healthy,763
PlantDoc,Squash___Powdery_mildew,275
PlantDoc,Strawberry___healthy,68
PlantDoc,Tomato___Bacterial_spot,319
PlantDoc,Tomato___Early_blight,150
PlantDoc,Tomato___healthy,238
PlantDoc,Tomato___Late_blight,286
PlantDoc,Tomato___Leaf_Mold,143
PlantDoc,Tomato___Septoria_leaf_spot,265
PlantDoc,Tomato___Tomato_mosaic_virus,56
PlantDoc,Tomato___Tomato_Yellow_Leaf_Curl_Virus,803
PlantDoc,Apple___Apple_scab,70
PlantDoc,Apple___Cedar_apple_rust,71
PlantDoc,Apple___healthy,74
PlantDoc,Blueberry___healthy,93
PlantDoc,Cherry___healthy,43
PlantDoc,Corn_(maize)___healthy,85
PlantDoc,Corn___Cercospora_leaf_spot,59
PlantDoc,Corn___Common_rust,98
PlantDoc,Corn___Northern_Leaf_Blight,161
PlantDoc,Grape___Black_rot,50
PlantDoc,Grape___Esca_(Black_Measles),85
PlantDoc,Grape___healthy,74
PlantDoc,Peach___healthy,93
PlantDoc,"Pepper,_bell___Bacterial_spot",59
PlantDoc,"Pepper,_bell___healthy",49
PlantDoc,Potato___Early_blight,98
PlantDoc,Potato___healthy,85
PlantDoc,Potato___Late_blight,86
PlantDoc,Raspberry___healthy,99
PlantDoc,Soybean___healthy,52
PlantDoc,Squash___Powdery_mildew,111
PlantDoc,Strawberry___healthy,80
PlantDoc,Tomato___Bacterial_spot,89
PlantDoc,Tomato___Early_blight,68
PlantDoc,Tomato___healthy,49
PlantDoc,Tomato___Late_blight,91
PlantDoc,Tomato___Leaf_Mold,75
PlantDoc,Tomato___Septoria_leaf_spot,126
PlantDoc,Tomato___Tomato_mosaic_virus,39
PlantDoc,Tomato___Tomato_Yellow_Leaf_Curl_Virus,62
PlantDoc,Apple___Apple_scab,441
PlantDoc,Apple___Cedar_apple_rust,193
PlantDoc,Apple___healthy,1151
PlantDoc,Blueberry___healthy,1052
PlantDoc,Cherry___healthy,598
PlantDoc,Corn_(maize)___healthy,814
PlantDoc,Corn___Cercospora_leaf_spot,359
PlantDoc,Corn___Common_rust,834
PlantDoc,Corn___Northern_Leaf_Blight,689
PlantDoc,Grape___Black_rot,826
PlantDoc,Grape___Esca_(Black_Measles),968
PlantDoc,Grape___healthy,296
PlantDoc,Peach___healthy,252
PlantDoc,"Pepper,_bell___Bacterial_spot",698
PlantDoc,"Pepper,_bell___healthy",1034
PlantDoc,Potato___Early_blight,700
PlantDoc,Potato___healthy,106
PlantDoc,Potato___Late_blight,700
PlantDoc,Raspberry___healthy,260
PlantDoc,Soybean___healthy,3563
PlantDoc,Squash___Powdery_mildew,1285
PlantDoc,Strawberry___healthy,319
PlantDoc,Tomato___Bacterial_spot,1489
PlantDoc,Tomato___Early_blight,700
PlantDoc,Tomato___healthy,1114
PlantDoc,Tomato___Late_blight,1336
